title,country,location,date,sector,contract_type,exp,study_level,job_description
Ingénieur Etudes et Développement .NET,Maroc,Casablanca,27/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Higher education Bac + 5, you have a 2 year professional experience in.NET SQL  You have the following technical skills: You have a good spirit of service, relationship qualities, leadership. You have a real ability to analyze needs and design solutions, good editorial quality and a spirit of synthesis.  This post is for you. NET ASP.NET ADO.NET ENTITY Framework DESIGN MVC Pattern javascript, HTML, Ajax Microsoft SQL Server/ T SQL/ Stored Procedures Web Services Basic concepts about MS BI, in particular SSRS Telerik knowledge and the BEQOM software would be a plus"
Data engineer Cloud,Maroc,Casablanca,27/09/2021,Informatique,CDI,De 5 à 10 ans,Bac +5 et plus,"Bac+5 training in computer development with 5 years of proven experience developing on Teradata & SQL. You are an expert in data development and technologies, and/or cloud, or you want to become an expert. You love development, and you have a taste for innovation. From a technical point of view:
		- You've led a Teradata migration project to another Data architecture, ideally to the GCP cloud
		- You have strong skills in SQL, python, and software architecture.
		- You have experiences on Data architectures (Cloudera, or Hortonworks, or Teradata, etc.)
		- Ideally, you have a GCP certification, or AWS or Azure.
		- Knowledge of DevOps tools would be a plus You adhere to the principles conveyed by agile methodologies (agile manifesto, customer need at the center, priority of the highest added value...). You adapt to new situations. You have a real appetite for teamwork, the ability to dialogue and organize with interlocutors from different trades."
Responsable HSE (H/F),Maroc,Casablanca,27/09/2021,Agroalimentaire,CDI,De 5 à 10 ans,Bac +5 et plus,"As a QHSE manager, you must be of higher education with an experience over 05 years. Experience in Agri-Food is mandatory."
Responsable Ressources Humaines (H/F),Maroc,Casablanca,27/09/2021,Agroalimentaire,CDI,De 5 à 10 ans,Bac +5 et plus,"As a human resources manager, you must be of higher education with more than 05 years of experience. Experience in Agri-Food is mandatory."
Analyste Etudes Stratégiques et Montages,Maroc,Casablanca,27/09/2021,BTP / Génie Civil,CDI,De 5 à 10 ans,Bac +5 et plus,"A graduate of a major business or engineering school (BAC +5), you justify a successful experience in a consulting firm (ideally in the areas of strategy and/or finance) or in a company (Strategy or equivalent). Knowledge of the real estate sector and/or urban development operations will be a plus to your application. Qualifications required for the position: organization and rigor, analytical and synthesis skills, curiosity and strength of proposal, autonomy, current mastery of French."
Directeur Marketing (H/F),Maroc,Rabat,27/09/2021,Autres services,CDI,De 10 à 20 ans,Bac +5 et plus,"As a potential candidate: You are training Bac +5 Grande Ecole de Commerce marketing option with an experience of more than 12 years in a similar position. You are able to define a marketing positioning and a service product offer. You master the different marketing techniques perfectly. You are able to pilot marketing studies. You are a good leader with a good ability to influence and federate. You have a strategic spirit and a decision-making capacity. You have the ability to quickly conceptualize problems and propose solutions You have a sense of observation, anticipation and initiative."
Assistant(e) Achat - junior,Maroc,Tanger,27/09/2021,Aéronautique / Spatial,Autre,De 10 à 20 ans,Bac +5 et plus,"Qualifications Requirements MBA and or financial experience Bachelors or master degrees from an accredited university or college A minimum of 7 years of experience in Sourcing, Supply Chain or operation with some experience or knowledge in construction Willingness and ability to travel at least when needed (5-10%) Desired Characteristics Strong oral and written communication skills Bargaining expertise Strong Interpersonal, communication, presentation and facilitation skills Strategic thinker / planner Strong quantitative and analytical skills Demonstrated change agent Able to develop a strategy and drive execution in a matrix environment Six Sigma Green Belt / Black Belt"
Architecte JAVA/J2EE - Freelance,Maroc,Rabat,27/09/2021,Informatique,Freelance,De 5 à 10 ans,Bac +5 et plus,"An engineer in computer training (or equivalent), you justify an experience of at least 5 years in a similar position. Technical expertise required: Java JEE Experience in setting up and managing a development environment with distributed architecture and continuous integration. Experience in implementing micro-service projects 3 certifications Abilities Personal Suitability Requirements: Exceptional analytical and synthesis skills Rigor, autonomy and teamwork. Duration: 6 months renewable Start date: ASAP not later than one month Mission location: Rabat To apply via rekrute click on the apply button at the bottom of the page. For more details on our freelance porting package: www.welink.ma"
Développeurs Java - Freelance,Maroc,Rabat,27/09/2021,Informatique,Freelance,De 5 à 10 ans,Bac +5 et plus,"Training computer engineer (or equivalent), you have a minimum experience of 5 years in a similar position. Technical expertise required: Java JEE Experience in distributed architecture Abilities Personal Suitability Requirements: Analytical and design capabilities. Motivation, dynamism and team spirit. Sense of organization. Quality of rigour. Duration: 6 months renewable Start date: ASAP not later than one month Mission location: Rabat To apply via rekrute click on the apply button at the bottom of the page. For more details on our freelance porting package: www.welink.ma"
Testeur Informatique Anglophone à Rabat,Maroc,Salé Technopolis,27/09/2021,Assurance / Courtage,CDI,De 1 à 3 ans,Bac +4,"Do you recognize yourself? Don't look any more, apply and come join us soon for this mission! We would like to thank all applicants, but we will only communicate with those selected for the screening process. Training Bac + 4 in computer science At least one year to 2 years experience as an IT Tester Good command of English in both writing and oral (international team) Autonomous and ready to adapt to a new test approach (Agile Tests) Good analysis for the detection of difficulties and risks"
Budget and Contract Compliance Owner ( H/F),Maroc,Rabat,27/09/2021,Assurance / Courtage,CDI,De 3 à 5 ans,Bac +5 et plus,"Bac+5 in Finance /Accounting or management control from a large school or equivalent. Rigourous, having a good sense of organization Autonomy Invoicing tracking capabilities Good level of communication Excellent level on Excel Service Now's Knowledge Is a Plus"
Opérateur Poste de Contrôle Sécurité (PCS),Maroc,Casablanca,27/09/2021,Agroalimentaire,CDI,De 1 à 3 ans,Bac +2,"Level Bac or Bac + 2 to 3 years of study, ideally specialized degree in computer science, network or other) Minimum experience of 2 to 5 years as a PCS operator You have a perfect mastery of the environment of video surveillance, access control and alarm intrusion and fire, setting and knowledge of networks and the ERP of video surveillance would be a plus. Perfect knowledge of procedures in the event of an incident. Rigourous, with a very sophisticated mindset of analysis, French mastery (necessary for reporting, email...etc),"
Chargé(e) de Recrutement,Maroc,Casablanca,27/09/2021,Centre d'appel,Stage,Débutant,Bac +4,"From baccalaureate training +4 5, you justify a first experience in recruitment. You are dynamic, recognized for your rigor and organization You are endowed with common relational sense and listening you are passionate about the HR profession"
Ingénieurs pour l’emploi d’Analyste II au sein du Pôle Opérations,Maroc,RABAT,27/09/2021,Conseil / Etudes,CDI,De 3 à 5 ans,Bac +5 et plus,"Article 3: This call for applications shall be open to candidates meeting the criteria and conditions the following: To hold a higher education diploma, minimum baccalaureate+5, winner of a large school Option engineers: Civil Engineering, Rural Engineering or Rural Development, or equivalent; Have professional experience of at least 3 years in trades of civil engineering, particularly in a technical engineering office, at the deadline for the submission of applications provided for in Article 5 below. Article 4: Interested candidates must submit a file containing the following documents: Letter of motivation; Curriculum Vitae; Certified copy(s) of diploma(s); Certified copy of the CIN; Certified true copies of work certificates. Commitment duly informed and signed by the candidate. This commitment can be downloaded at level of the EIF website at: www.fec.ma Recruitment area; call for candidacy for the recruitment of two (02) engineers from the Operations Centre. Incomplete files will not be considered. Article 5: The application file, in a single copy, shall be filed, in closed form, with acknowledgment of receipt, at the Department of Human Resources no later than Friday, 15 October 2021. Article 6: Candidates selected during the pre-selection phase on file will be summoned by e-mail to pass the selection interviews. Article 7: The final result of the call for applications will be published at the headquarters and website of the EIF and on the website of public employment (www.public employment.ma)."
Assistant Account Manager (H/F),Maroc,Casablanca,27/09/2021,Conseil / Etudes,CDI,Moins de 1 an,Bac +5 et plus,"With advanced training in commerce (Bac+5), you have completed internships or have benefited from an initial experience in business development and/or project management (PMO). An experience with a service company (council or SSII) would be a plus. You have autonomy, rigour, adaptability and a high level of professional awareness, particularly with regard to the confidentiality of strategic data. You have mastered the Pack Office, as well as the financial reporting and CRM tracking bases. You are operational in English in both oral and written language."
Ingénieur Développement Senior C# / .NET / MVC5,Maroc,Marrakech,27/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"SALARY : 13,000 Dirham Net (H/F) You have a degree in state engineer, Bac+5 and have a first successful experience in software development in BtoB. You have a very good mastery of French spoken and written. You have a good understanding of written English, You like to work as a team."
Chargé(e) de recrutement BPO,Maroc,CASABLANCA,27/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Passionate about the world of recruitment, hunting and talent detection?   Have you had a minimum of 3 years of experience in recruiting computer profiles in recruitment firms or in ESN-type companies?   Do you have a perfect speech and mastery of the French language?   Are you recognized for your relational qualities and listening skills?   Are you known for your taste for the challenge, your intuition, your team spirit and your flexibility? This post is for you!"
Bilingual Talent acquisition specialist,Maroc,casablanca,27/09/2021,Recrutement / Intérim,CDI,De 1 à 3 ans,Bac +3,"Diploma in human resources, business or communication. Be omnipresent on social media and build up external market intelligence. Exceptional communication skills (verbal and writing) in English and French. Basics of Morocco labor legislation. Computer skills: Word, Excel, Access. Discretion, organization, sociable character, excellent interpersonal skills"
Financial Planning and Analysis Manager Morocco,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,De 5 à 10 ans,Bac +5 et plus,"  Master in Finance or equivalent, business management   5 10 years of experience is typical and necessary, including a strong management team experience.   Demonstrated analytical and financial modelling skills with ability to prepare materials and presentations that communicate understanding data and analyses.   Demonstrated in budget planning, expense monitoring, cash flow and financial management operations   Strong attention to detail and commitment to right guidelines   Strong organization, ability to prioritize workload and build an organization operational oriented è FP&A country should be a business partner for operational   Ability to support planning and executive strategic plans as defined by leadership.   Perfectly bilingual (French English)"
Ingénieur Système Linux,Maroc,CASABLANCA,27/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,
Ingénieur Réseaux & Télécoms,Maroc,CASABLANCA,27/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,Technical training (Network/Telecommunications Engineer (Bac+ 5)). You have a similar successful experience of at least 3 years. You have analytical and synthesis capabilities. You have good editorial skills. You have good listening and understanding skills. You are punctual and rigorous. You are methodical and organized. You have the taste for the challenge. Any certification related to the field of activity is a considerable asset. You are mobile and autonomous in the course of your missions. You have a valid driver's license and drive without problems.
Responsable Achats Combustibles - El Jadida,Maroc,El Jadida,27/09/2021,Autres Industries,CDI,De 5 à 10 ans,Bac +5 et plus,"You have: With a degree from School of Engineering or Business, you justify a minimum of 5 years' experience in a similar position in the international purchasing or supply trades, preferably in fuel purchases. Adaptability and a very good relational sense. Excellent communication and negotiation skills. Sense of organization, rigour and responsiveness. Teamwork and a sense of contact. Intermediate English level. Knowledge of international trade and fuel technology."
Chargé(e) de Projet MOA Anglophone,Maroc,Casablanca,27/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +5 et plus,"Personal Suitability: Graduate engineer +5 in computer science from an engineering school or university You have an experience of 2 years or more in a similar position You master the editorial and technical environments of the Web. Functional Knowledge and Writing Capabilities (In English and French) Management, project management, techniques and procedures for diagnosis and project conduct. Knowledge Marketing Digital. A very common relational sense, listening, communication and persuasion Team coordination and conflict management skills The sense of planning, rigour and organization High analytical capacity A sense of collective and teamwork"
Superviseur Télévente FAI H/F,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,De 1 à 3 ans,Bac,"Passionate about your profession, you have a real desire to contribute to the achievement of the objectives You have a proven experience as a supervisor on a telesales activity, 2 years minimum. You have already proved your managerial qualities and are available immediately. You have a perfect command of the French language in both oral and written terms (with an excellent spelling)."
Télévendeurs/Télévendeuses en émission d’appels pour un FAI WEEK-END OFF,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,De 1 à 3 ans,Bac,"Telesales experience required. Perfect mastery of the French language both orally and in writing. Dominating commercial sense. Ability to quickly identify customer needs. Customer approach and strong ability to convince. The taste of the challenge while making sure to perform quality work, apply and follow the instructions. An asserted personality coupled with a great ability to listen and adapt and versatility allowing you to work on different products. Dynamism. Directness. Comply with rigorous treatment processes. Adapt your commercial argument to your interlocutor."
